cell_size total_intensity feature_a feature_b feature_c feature_d feature_e feature_f feature_g feature_h class
2.232693663686631 0.49588272372967496 2.334584703111262 0.6996648025789372 0.23 13.23 115.43 3.08 5.39 -0.54 activated
2.3535056956389337 2.2240495566249674 2.3670263146763495 2.251090794699799 0.22 13.06 109.39 2.97 5.16 -0.56 activated
1.0220285958479411 4.116603477422556 1.0370201873068432 4.14658666034036 0.46 16.43 229.8 5.14 9.73 -0.08 quiescent
2.8438280686964625 3.326509447571979 2.8056397053668656 3.2501327209127857 0.29 14.06 144.89 3.61 6.51 -0.42 quiescent
1.4201333112919208 4.637461654822657 1.3032039397633046 4.403602911765424 0.02 10.3 10.74 1.19 1.41 -0.96 quiescent
3.5435197152284776 2.79355283596852 3.3713863258987966 2.449286057309158 0.84 21.73 418.79 8.54 16.91 0.68 activated
0.46546494097762203 3.123155143325978 0.419206873093493 3.03063900755772 0.56 17.79 278.23 6.01 11.57 0.11 quiescent
0.9845148999223354 1.9521153868690735 1.008053588242281 1.9991927635089648 0.64 18.99 321.15 6.78 13.2 0.28 activated
3.1946682059761784 -0.3371621604157158 3.2792614855925057 -0.1679756011830607 0.19 12.6 92.95 2.67 4.53 -0.63 activated
2.7843580836104147 1.0266465706953476 2.734316472041409 0.9265633475573355 0.99 23.9 496.27 9.93 19.86 0.99 activated
-0.27652528150343114 5.0812776832803 -0.3825761244034276 4.869175997480307 0.86 22.04 429.97 8.74 17.34 0.72 quiescent
2.4316930525885074 -0.20173713064625765 2.338130221595814 -0.3888627926316439 0.12 11.69 60.44 2.09 3.3 -0.76 activated
1.2893377801973964 3.449691588146665 1.4494271718179286 3.7698703713877295 0.33 14.66 166.35 3.99 7.32 -0.33 quiescent
0.34194798486553146 3.941046161461252 0.31218828639066026 3.8815267645115097 0.72 20.1 360.74 7.49 14.71 0.44 quiescent
3.2460247025341027 2.8494216528496255 3.527501972006354 3.4123761917941287 0.71 19.96 355.6 7.4 14.51 0.42 quiescent
3.002519489206626 0.7426535668471026 2.9689137026980643 0.67544199382998 0.94 23.11 468.22 9.43 18.79 0.87 activated
0.42506917446683334 1.360445915463711 0.36371591710895057 1.2377394007479454 0.42 15.91 211.05 4.8 9.02 -0.16 activated
3.922826481859448 1.8037083182133222 3.9261504065094233 1.8103561675132724 0.83 21.62 415.02 8.47 16.77 0.66 activated
2.263542499509738 1.8743026964216496 2.3349335851851603 2.0170848677724935 0.67 19.38 335.15 7.03 13.74 0.34 activated
0.882144116318718 2.8412848455872295 1.0902210983142666 3.2574388095783267 0.3 14.25 151.68 3.73 6.76 -0.39 activated
1.0427873009296629 4.606259225188172 0.9876583183450901 4.4960012600190264 0.59 18.23 293.79 6.29 12.16 0.18 quiescent
2.0657675421536985 2.6835341538437723 2.1480204212414655 2.8480399120193063 0.88 22.35 441.24 8.94 17.77 0.76 activated
1.1203136497073731 5.758060834411365 1.18895234895173 5.895338232900079 0.85 21.85 423.1 8.62 17.08 0.69 quiescent
0.08080351735281943 4.690689825307652 0.15590323471455214 4.840889260031118 0.51 17.07 252.64 5.55 10.6 0.01 quiescent
3.2340470925925286 0.717738824125586 3.2516597264918214 0.7529640919241711 0.59 18.25 294.5 6.3 12.19 0.18 activated
2.6693468917789582 1.8198703315044638 2.828428625378435 2.138033798703417 0.03 10.48 17.26 1.31 1.66 -0.93 activated
1.8407062774060008 3.561622307041948 1.8401956668407855 3.5606010859115176 0.24 13.4 121.37 3.18 5.61 -0.51 quiescent
2.520929961163338 -0.6385800263392869 2.5743397489516497 -0.5317604507626639 0.8 21.16 398.7 8.18 16.15 0.59 activated
2.457609162610427 0.21285356899762364 2.492774242471244 0.28318372871925684 0.41 15.8 207.16 4.73 8.87 -0.17 activated
